ID,Type,URL,Status,Category.Product,Home,Body,Category.Brand,Image,Product.CostPrice,Product.ListPrice,Product.SellPrice,Product.ShippingPrice,Product.SKU,Product.Stock.Message,Product.Stock.Value,Section,Teaser,Title,Google.Shopping.Category
1,Product,Trip-Trap-Humane-Mouse-Trap-(Box-of-Six),1,Mouse Traps,Featured Pest Control Products,"The safe and friendly way to deal with unwanted house guests.

This British-designed product has been especially developed to cause the least stress and no harm to mice when they are caught.

+ The door drops automatically behind the mouse when it crosses the treadle to reach the bait.
+ Clear plastic body means you can see at a glance when you have caught something.
+ Plentiful ventilation points reduce stress to caught mice.
+ Easy to bait and set – each trap is provided with full instructions for use.

**NB:** Mice carry a variety of diseases, and should never be handled without protection. To minimise distress to captured mice, traps must be checked regularly (preferably every 2 hours), and should not be left overnight.",Procter Brothers Pest-Stop,,11.28,27,21.6,2.5,PSTT,In Stock,1,Mouse Traps,"The safe and friendly way to deal with unwanted house guests.

This British-designed product has been especially developed to cause the least stress and no harm to mice when they are caught.",Trip -Trap Humane Mouse Trap (Box of Six),Home &amp; Garden &gt; Household Supplies &gt; Pest Control
2,Product,Pest-Repeller-for-single-large-room-(1000-sq-ft),1,Insect Repellers,Keep Insects Out My House,This is our entry-level ultrasonic pest repeller from our new slim-line range.  It covers an area twice as large as the product it replaces with an impressive 1000 square feet of coverage.  The repeller works by emitting ultrasonic waves which cause auditory stress to rodents and crawling insect pests.,Procter Brothers Pest-Stop,,6.36,15.99,14.86,2.5,PSRSR,In Stock,1,Insect Repellers and Deterents,This is our entry-level ultrasonic pest repeller from our new slim-line range.  It covers an area twice as large as the product it replaces with an impressive 1000 square feet of coverage.  The repeller works by emitting ultrasonic waves which cause auditory stress to rodents and crawling insect pests.,Pest Repeller for single large room (1000 sq ft),Home &amp; Garden &gt; Household Supplies &gt; Pest Control
3,Product,Pest-Repeller-Triple-Pack-for-Large-Room-(3-X-1000-sq-ft),1,Insect Repellers,Featured Products,This is our entry-level ultrasonic pest repeller from our new slim-line range.  It covers an area twice as large as the product it replaces with an impressive 1000 square feet of coverage.  The repeller works by emitting ultrasonic waves which cause auditory stress to rodents and crawling insect pests.,Procter Brothers Pest-Stop,,12.86,32.99,26.39,2.5,PSRSR3,In Stock,1,Insect Repellers and Deterents,This is our entry-level ultrasonic pest repeller from our new slim-line range.  It covers an area twice as large as the product it replaces with an impressive 1000 square feet of coverage.  The repeller works by emitting ultrasonic waves which cause auditory stress to rodents and crawling insect pests.,Pest Repeller Triple Pack for Large Room (3 X 1000 sq ft),Home &amp; Garden &gt; Household Supplies &gt; Pest Control
4,Product,"Pest-Repeller-for-Whole-House-(2,500-sq-ft)",1,Insect Repellers,Keep Insects Out My House,"With a coverage of 2,500 square feet, this new repeller covers a typical house.  As well as ultrasonic, the repeller uses electromagnetic waves and is highly effective against rodents and most crawling insects. ",Procter Brothers Pest-Stop,,19.37,49.99,39.99,2.5,PSRWH,In Stock,1,Insect Repellers and Deterents,"With a coverage of 2,500 square feet, this new repeller covers a typical house.  As well as ultrasonic, the repeller uses electromagnetic waves and is highly effective against rodents and most crawling insects. ","Pest Repeller for Whole House (2,500 sq ft)",Home &amp; Garden &gt; Household Supplies &gt; Pest Control
5,Product,Pest-Repeller-for-Whole-Large-House-(4000-sq-ft),1,Insect Repellers,Keep Insects Out My House,"As the name suggests, this repeller is for larger houses and covers a truly impressive 4000 square feet.  Like the repeller for the Whole House it also uses both ultrasonic and electromagnetic waves, but also has many additional features.",Procter Brothers Pest-Stop,,30.19,69.99,55.99,2.5,PSRPRO,In Stock,1,Insect Repellers and Deterents,"As the name suggests, this repeller is for larger houses and covers a truly impressive 4000 square feet.  Like the repeller for the Whole House it also uses both ultrasonic and electromagnetic waves, but also has many additional features.",Pest Repeller for Whole Large House (4000 sq ft),Home &amp; Garden &gt; Household Supplies &gt; Pest Control
6,Product,Electronic-Mole-Repeller,1,Mole Repellers,,,Procter Brothers Pest-Stop,,10.73,27.5,22,2.5,PS9000,In Stock,1,Mole Repellers,,Electronic Mole Repeller,Home &amp; Garden &gt; Household Supplies &gt; Pest Control
7,Product,Solar-Powered-Mole-Repeller,1,Mole Repellers,Featured Pest Control Products,"This advanced product uses solar energy to power its sonic repeller. The sonic repeller drives moles and other burrowing animals away by emitting low frequency ground vibrations every 15 to 20 seconds, which the animals interpret as signs of an approaching predator. Coverage is up to 7500sq ft.

+ Advanced product which is solar powered
+ No batteries required
+ Sonic device drives moles and other burrowing animals away
+ Coverage is up to 7500sq ft",Procter Brothers Pest-Stop,,10.73,27.5,22,2.5,PS7500S,In Stock,1,Mole Repellers,"This advanced product uses solar energy to power its sonic repeller. The sonic repeller drives moles and other burrowing animals away by emitting low frequency ground vibrations every 15 to 20 seconds, which the animals interpret as signs of an approaching predator. Coverage is up to 7500sq ft.
",Solar Powered Mole Repeller,Home &amp; Garden &gt; Household Supplies &gt; Pest Control
8,Product,Prikka-Strip-–-45mm-x-500mm-strips-(Pack-of-8),1,Cat Repellers,Keep Cats Out Of My Garden,"Easily fixes to the top of fences and walls to keep intruders and unwanted cats out of your property.  Prikka strips are designed to cause maximum discomfort but are unlikely to cause injury.

+ Simple and easy to install
+ Made from tough plastic
+ Very effective deterrent
+ Can be cut to length and divided to make a thinner strip",Procter Brothers Pest-Stop,,8.1,19.99,16.6,2.5,PSPS8,In Stock,1,Cat Repellers and Deterrents,Easily fixes to the top of fences and walls to keep intruders and unwanted cats out of your property.  Prikka strips are designed to cause maximum discomfort but are unlikely to cause injury.,Prikka Strip – 45mm x 500mm strips (Pack of 8),Home &amp; Garden &gt; Household Supplies &gt; Pest Control
9,Product,Cat-Repeller-Rods-(Pack-of-4),1,Cat Repellers,Keep Cats Out Of My Garden,"These plastic rods emit a strong scent, which is designed to stop cats fouling the surrounding area. The sharp citrus smell is impregnated within the plastic during the moulding process, which means that, no matter what the weather, Pest-Stop Cat Repeller Rods keep working for up to 10 weeks.

+ Each rod protects approx. 1 metre square.
+ Unaffected by the weather, will last up to 10 weeks.
+ Discreet design and colouring blends easily into flower borders.
+ No harmful chemicals or pesticides.
+ Easy to use in the garden or for house plants.",Procter Brothers Pest-Stop,,8.56,19.99,17.06,2.5,PSCAT,In Stock,1,Cat Repellers and Deterrents,"These plastic rods emit a strong scent, which is designed to stop cats fouling the surrounding area. The sharp citrus smell is impregnated within the plastic during the moulding process, which means that, no matter what the weather, Pest-Stop Cat Repeller Rods keep working for up to 10 weeks.",Cat Repeller Rods (Pack of 4),Home &amp; Garden &gt; Household Supplies &gt; Pest Control
10,Product,Ultrasonic-Cat-Repeller,1,Cat Repellers,Keep Cats Out Of My Garden,"Are cats a problem in your garden? Cats are a frequent menance for many gardeners, damaging plants, fouling lawns and, for those of us with bird tables, endangering the wildlife that many of us encourage in our gardens. As the vast majority of cats are pets, a non-harmful way to deter them venturing into our gardens is the only option, and this is where the Proctor Brothers Pest-Stop Ultrasonic Cat Repeller comes into play.

The Proctor Brothers Pest-Stop Ultrasonic Cat Repeller uses a PIR motion sensor to detect movement to a distance of 40ft, more than enough to cover most gardens. When a movement is detected, the cat repeller then emits a powerful ultrasonic whistle that scares cats away. Other animals, including other pets, should be unaffected by the sound.

The Ultrasonic Cat Repeller uses 2 x 9v batteries (not included) or Procter Pest-Stop mains adaptor (sold separately).

### Key Features ###

+ Pre-set frequencies deters cats    
+ Won't affect other animals and pets
+ Battery operated or will run off mains
",Procter Brothers Pest-Stop,,12.86,29.99,23.99,2.5,PS3002,In Stock,1,Cat Repellers and Deterrents,"This device uses a PIR motion sensor to detect movement to a distance of 40ft, then emits a powerful ultrasonic whistle which scares cats away. Uses 2 x 9v batteries (not included) or Procter Pest-Stop mains adaptor (sold separately).",Ultrasonic Cat Repeller,Home &amp; Garden &gt; Household Supplies &gt; Pest Control
11,Product,Ultrasonic-Garden-Pest-Repeller,1,Insect Repellers,Featured Pest Control Products,,Procter Brothers Pest-Stop,,19.37,49.99,39.99,2.5,PS3010,In Stock,1,Insect Repellers and Deterents,,Ultrasonic Garden Pest Repeller,Home &amp; Garden &gt; Household Supplies &gt; Pest Control
12,Product,Spider-and-Bug-Vacuum,1,Insect Repellers,Featured Pest Control Products,,Procter Brothers Pest-Stop,,4.77,11.99,13.27,2.5,PSSBV,In Stock,1,Insect Repellers and Deterents,,Spider and Bug Vacuum,Home &amp; Garden &gt; Household Supplies &gt; Pest Control
,,,,,,,,,,,,,,,,,,,
ID,Type,URL,Status,Order,Body,Title,,,,,,,,,,,,,
13,Home,,1,1,,Featured Pest Control Products,,,,,,,,,,,,,
14,Home,,1,2,"Cats can be a major problem in urban gardens, fouling lawns and flowerbeds, and causing damage to plants. We've selected the very best cat repellers and cat deterrents from the Procter Brothers Pest-Stop range to help you keep your garden feline-free.",Keep Cats Out Of My Garden,,,,,,,,,,,,,
15,Home,,1,3,"Insects in the home can be a major irritation, and can even be dangerous if you have an allergy to insect venom from stings or bites. For all your in-home insect repellers, we have the solution. Whether you have a small, medium, or large dwelling, the Procter Brothers Pest-Stop Insect Repeller can be deployed to give you many insect-free hours.",Keep Insects Out My House,,,,,,,,,,,,,
